#      num          C++         Go         Java      Python
    100000  0.006871122 0.014260904 0.027290327 0.246541023
    200000  0.015277468 0.021985564 0.039442738 0.512308264
    300000  0.019343388 0.033322909 0.048947397 0.808491325
    400000  0.022012047 0.047269692 0.056722818 1.087396431
    500000  0.027596682 0.040423553 0.092554913 1.401254225
    600000  0.036730861 0.058071785 0.101060986 1.695064831
    700000  0.044021845 0.060673429 0.122128894 2.025708818
    800000  0.049256268 0.067512214 0.131180292 2.309878206
    900000  0.055102769 0.083232743 0.140146852
   1000000  0.066083448 0.096023547 0.176572753
   2000000  0.124264214 0.183056733 0.354653271
   3000000  0.191864753 0.265094656 0.573445074
   4000000  0.257243426 0.344301748 0.803314873
   5000000  0.323595497 0.441466828 1.019850431
   6000000  0.399442359 0.508540423
   7000000  0.466205109 0.617975376
   8000000  0.544435937
   9000000  0.619353087
  10000000  0.679644304
  20000000  1.411960560
